date,value
23-Jan-12,14
24-Jan-12,9
25-Jan-12,3
26-Jan-12,6
27-Jan-12,10
28-Jan-12,13
29-Jan-12,10
30-Jan-12,7
31-Jan-12,4
01-Feb-12,14
02-Feb-12,4
03-Feb-12,15
04-Feb-12,14
05-Feb-12,14
06-Feb-12,6
07-Feb-12,11
08-Feb-12,8
09-Feb-12,9
10-Feb-12,14
11-Feb-12,9
12-Feb-12,12
13-Feb-12,5
14-Feb-12,6
15-Feb-12,9
16-Feb-12,4
17-Feb-12,8
18-Feb-12,12
19-Feb-12,16
20-Feb-12,21
21-Feb-12,5
22-Feb-12,7
23-Feb-12,8
24-Feb-12,8
25-Feb-12,15
26-Feb-12,12
27-Feb-12,8
28-Feb-12,6
29-Feb-12,7
01-Mar-12,7
02-Mar-12,9
03-Mar-12,13
04-Mar-12,14
05-Mar-12,7
06-Mar-12,15
07-Mar-12,8
08-Mar-12,10
09-Mar-12,9
10-Mar-12,11
11-Mar-12,3
12-Mar-12,2
13-Mar-12,7
14-Mar-12,4
15-Mar-12,5
16-Mar-12,12
17-Mar-12,11
18-Mar-12,5
19-Mar-12,11
20-Mar-12,4
21-Mar-12,5
22-Mar-12,10
23-Mar-12,14
24-Mar-12,6
25-Mar-12,8
26-Mar-12,7
27-Mar-12,3
28-Mar-12,15
29-Mar-12,3
30-Mar-12,13
31-Mar-12,8
01-Apr-12,17
02-Apr-12,4
03-Apr-12,6
04-Apr-12,12
05-Apr-12,5
06-Apr-12,10
07-Apr-12,18
08-Apr-12,17
09-Apr-12,9
10-Apr-12,5
11-Apr-12,6
12-Apr-12,8
13-Apr-12,12
14-Apr-12,15
15-Apr-12,14
16-Apr-12,8
17-Apr-12,12
18-Apr-12,14
19-Apr-12,7
20-Apr-12,7
21-Apr-12,11
22-Apr-12,9
23-Apr-12,11
24-Apr-12,7
25-Apr-12,17
26-Apr-12,12
27-Apr-12,8
28-Apr-12,14
29-Apr-12,13
30-Apr-12,4
01-May-12,10
02-May-12,6
03-May-12,5
04-May-12,5
05-May-12,18
06-May-12,16
07-May-12,18
08-May-12,13
09-May-12,12
10-May-12,10
11-May-12,10
12-May-12,11
13-May-12,24
14-May-12,15
15-May-12,10
16-May-12,11
17-May-12,18
18-May-12,15
19-May-12,18
20-May-12,22
21-May-12,12
22-May-12,18
23-May-12,12
24-May-12,15
25-May-12,30
26-May-12,23
27-May-12,24
28-May-12,20
29-May-12,16
30-May-12,8
31-May-12,12
01-Jun-12,10
02-Jun-12,18
03-Jun-12,17
04-Jun-12,11
05-Jun-12,7
06-Jun-12,13
07-Jun-12,10
08-Jun-12,17
09-Jun-12,21
10-Jun-12,19
11-Jun-12,7
12-Jun-12,9
13-Jun-12,15
14-Jun-12,15
15-Jun-12,10
16-Jun-12,21
17-Jun-12,7
18-Jun-12,11
19-Jun-12,17
20-Jun-12,11
21-Jun-12,19
22-Jun-12,20
23-Jun-12,22
24-Jun-12,13
25-Jun-12,11
26-Jun-12,31
27-Jun-12,14
28-Jun-12,11
29-Jun-12,18
30-Jun-12,47
01-Jul-12,44
02-Jul-12,19
03-Jul-12,50
04-Jul-12,87
05-Jul-12,16
06-Jul-12,3
07-Jul-12,11
08-Jul-12,7
09-Jul-12,4
10-Jul-12,9
11-Jul-12,7
12-Jul-12,3
13-Jul-12,3
14-Jul-12,22
15-Jul-12,8
16-Jul-12,6
17-Jul-12,7
18-Jul-12,5
19-Jul-12,8
20-Jul-12,10
21-Jul-12,14
22-Jul-12,15
23-Jul-12,5
24-Jul-12,6
26-Jul-12,6
27-Jul-12,6
28-Jul-12,7
29-Jul-12,9
30-Jul-12,6
31-Jul-12,4
01-Aug-12,3
02-Aug-12,3
03-Aug-12,6
04-Aug-12,11
05-Aug-12,6
06-Aug-12,9
07-Aug-12,1
08-Aug-12,6
09-Aug-12,6
10-Aug-12,5
11-Aug-12,14
12-Aug-12,12
13-Aug-12,3
14-Aug-12,1
15-Aug-12,7
16-Aug-12,1
17-Aug-12,2
18-Aug-12,5
19-Aug-12,13
20-Aug-12,7
21-Aug-12,9
22-Aug-12,3
23-Aug-12,8
24-Aug-12,2
25-Aug-12,6
26-Aug-12,8
27-Aug-12,1
28-Aug-12,7
29-Aug-12,5
30-Aug-12,5
31-Aug-12,7
01-Sep-12,15
02-Sep-12,6
